duration: 05, msg_len: 10000, n_ranks: 3, iteration: 5, elapsed: 2.401941
duration: 05, msg_len: 10000, n_ranks: 4, iteration: 1, elapsed: 0.998029
duration: 05, msg_len: 10000, n_ranks: 4, iteration: 2, elapsed: 1.016040
duration: 05, msg_len: 10000, n_ranks: 4, iteration: 3, elapsed: 0.993155
duration: 05, msg_len: 10000, n_ranks: 4, iteration: 4, elapsed: 1.014148
duration: 05, msg_len: 10000, n_ranks: 4, iteration: 5, elapsed: 0.996918
duration: 05, msg_len: 100000, n_ranks: 1, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 1, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 1, iteration: 3, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 1, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 1, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 2, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 2, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 2, iteration: 3, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 2, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 2, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 3, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 3, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 3, iteration: 3, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 3, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 3, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 4, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 4, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_ranks: 4, iteration: 3, elapsed: too_large
